0,78,4.72872,04.72872
1,9,5.06582,05.06582
1,39,7.95387,0.02978727.80436
1,62,9.17469,09.17469
1,240,5.0387,05.0387
2,31,5.67437,05.67437
2,114,6.52612,06.52612
2,133,9.66911,09.66911
2,243,9.05049,09.05049
3,19,8.75965,08.75965
3,84,2.43558,02.43558
3,100,8.85342,0.229287.67054
4,48,7.97776,0.1443737.2409
4,298,11.6794,0.4783059.1477
5,31,8.62418,08.62418
5,243,4.21296,04.21296
6,110,5.79894,05.79894
6,140,5.85995,05.85995
6,292,9.74252,09.74252
7,298,6.27789,06.27789
9,1,5.06582,05.06582
9,62,4.1149,04.1149
10,74,9.32307,09.32307
10,261,9.35703,09.35703
11,69,10.7157,0.6198597.29581
11,199,6.86855,0.4863244.04137
11,246,8.89887,0.2792977.44566
12,133,10.6815,0.4072418.53767
13,22,8.42315,0.01126088.36677
13,61,9.71596,09.71596
13,271,8.21949,08.21949
15,141,4.57654,0.05920514.2763
16,52,8.8447,08.8447
16,71,5.59098,0.02078265.48667
16,186,5.90055,05.90055
16,241,9.55242,09.55242
16,268,5.47444,0.1171684.87379
17,228,0.403015,00.403015
18,59,9.14696,09.14696
18,64,9.33693,09.33693
18,174,5.42493,05.42493
18,269,6.24843,0.1135925.66861
19,3,8.75965,08.75965
19,84,9.60706,09.60706
19,100,10.3632,0.1667149.51451
19,248,7.89353,07.89353
20,210,9.46793,09.46793
21,55,7.46654,0.1253286.82795
21,264,6.94309,06.94309
22,13,8.42315,0.01126088.36677
22,164,12.1014,0.8991726.76252
23,183,5.15387,0.04334784.93519
23,231,8.11929,08.11929
24,30,9.94911,09.94911
25,48,6.70688,06.70688
25,253,7.81387,07.81387
26,96,7.99192,07.99192
26,167,2.90182,02.90182
26,236,5.63398,05.63398
28,131,11.7276,0.3608979.85163
29,106,7.92375,07.92375
29,145,5.67127,05.67127
30,24,9.94911,09.94911
30,217,9.90663,09.90663
31,2,5.67437,05.67437
31,5,8.62418,08.62418
31,114,5.71232,05.71232
31,212,6.24233,06.24233
31,243,4.41417,04.41417
32,128,4.57986,0.03061134.42573
32,205,4.3541,0.2110173.21895
32,223,10.2339,0.152839.45694
33,166,11.6654,0.5169518.91024
35,176,8.33999,08.33999
36,45,7.29133,07.29133
36,67,1.91271,01.91271
38,120,8.15487,08.15487
39,1,7.95387,0.02978727.80436
39,55,9.07345,09.07345
39,91,8.94093,08.94093
39,162,11.7619,0.4161919.58171
39,240,2.97374,02.97374
39,264,7.89972,07.89972
40,142,3.27631,03.27631
40,150,5.41778,0.003534095.4001
40,188,6.87226,06.87226
40,278,3.95741,0.04033173.75354
42,87,8.84886,08.84886
42,163,4.3248,04.3248
43,263,9.16201,09.16201
43,283,7.14425,07.14425
45,36,7.29133,07.29133
45,67,8.61099,08.61099
45,277,7.15348,07.15348
46,213,9.09606,09.09606
46,251,4.53067,0.02264984.41684
46,284,5.70713,0.3366773.84287
47,97,0.414546,00.414546
48,4,7.97776,0.1443737.2409
48,25,6.70688,06.70688
50,187,7.63601,07.63601
51,285,6.13644,06.13644
52,16,8.8447,08.8447
52,88,5.81128,05.81128
52,181,5.18389,05.18389
53,158,7.69851,07.69851
53,238,5.72349,05.72349
54,180,2.62151,02.62151
54,199,8.32501,08.32501
54,217,8.99642,08.99642
55,21,7.46654,0.1253286.82795
55,39,9.07345,09.07345
55,91,9.34096,09.34096
55,264,1.34407,01.34407
56,134,6.97674,06.97674
56,148,2.61462,02.61462
57,99,3.35158,03.35158
57,118,5.06272,05.06272
57,179,9.90463,09.90463
59,18,9.14696,09.14696
59,64,6.33654,06.33654
59,157,8.43275,0.2979246.87226
59,174,3.72701,03.72701
59,237,9.89366,09.89366
61,13,9.71596,09.71596
61,226,7.71273,07.71273
61,234,7.98651,07.98651
61,265,8.73581,08.73581
61,271,9.77331,09.77331
62,1,9.17469,09.17469
62,9,4.1149,04.1149
62,161,8.19477,08.19477
63,229,4.74733,04.74733
63,237,5.70236,0.02350275.58435
